Region: Ilessan Hills
Total Size: 12
B0000007.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-2
N0000052.RDB,   X:0, Z:-1
W0000024.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
W0000006.RDB,   X:1, Z:0
N0000083.RDB,   X:1, Z:1
B0000000.RDB,   X:1, Z:2
B0000008.RDB,   X:2, Z:0
B0000012.RDB,   X:2, Z:1

Dungeon: The Vermotbith Web
Type: Spider Nest
Total Size: 8
B0000008.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
N0000050.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1

Dungeon: Castle Alabane
Type: Human Stronghold
Total Size: 8
B0000011.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
W0000020.RDB,   X:0, Z:0
W0000002.RDB,   X:0, Z:1
B0000009.RDB,   X:0, Z:2
B0000001.RDB,   X:1, Z:0
B0000005.RDB,   X:1, Z:1

Dungeon: Ruins of Old Ysara's Farm
Type: Giant Stronghold
Total Size: 8
B0000012.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
N0000078.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000004.RDB,   X:2, Z:0

Dungeon: Ruins of Castle Kingsly
Type: Natural Cave
Total Size: 8
B0000010.RDB,   X:-2, Z:0
B0000006.RDB,   X:-1, Z:-1
N0000070.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000011.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: The Druraker Web
Type: Spider Nest
Total Size: 12
B0000008.RDB,   X:-2, Z:0
B0000005.RDB,   X:-2, Z:1
B0000004.RDB,   X:-1, Z:-1
N0000074.RDB,   X:-1, Z:0
N0000025.RDB,   X:-1, Z:1
B0000008.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-1
N0000015.RDB,   X:0, Z:0
N0000003.RDB,   X:0, Z:1
B0000010.RDB,   X:0, Z:2
B0000004.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1

Dungeon: Ruins of Gaersly Manor
Type: Laboratory
Total Size: 8
B0000007.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000003.RDB,   X:0, Z:-1
N0000000.RDB,   X:0, Z:0
W0000007.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000006.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1

Dungeon: Hearthcroft's Hold
Type: Vampire Haunt
Total Size: 13
B0000002.RDB,   X:-3, Z:-1
B0000013.RDB,   X:-3, Z:0
B0000002.RDB,   X:-2, Z:-2
W0000011.RDB,   X:-2, Z:-1
N0000007.RDB,   X:-2, Z:0
B0000002.RDB,   X:-2, Z:1
B0000013.RDB,   X:-1, Z:-1
W0000002.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000042.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Castle Masterwing
Type: Human Stronghold
Total Size: 10
B0000013.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
N0000069.RDB,   X:1, Z:0
N0000004.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000013.RDB,   X:2, Z:0
B0000006.RDB,   X:2, Z:1

Dungeon: The House of Darkezor
Type: Vampire Haunt
Total Size: 8
B0000010.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-1
N0000008.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
W0000016.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Hawkhouse Manor
Type: Prison
Total Size: 8
B0000006.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000001.RDB,   X:0, Z:-1
W0000020.RDB,   X:0, Z:0
N0000085.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000000.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: Ruins of The Woodhart Cabin
Type: Human Stronghold
Total Size: 13
B0000009.RDB,   X:-3, Z:0
B0000000.RDB,   X:-2, Z:-1
N0000044.RDB,   X:-2, Z:0
B0000006.RDB,   X:-2, Z:1
B0000002.RDB,   X:-1, Z:-1
N0000009.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000010.RDB,   X:0, Z:-2
N0000069.RDB,   X:0, Z:-1
W0000023.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of Kingfield Tower
Type: Spider Nest
Total Size: 10
B0000011.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000005.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-2
W0000019.RDB,   X:1, Z:-1
W0000016.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000000.RDB,   X:2, Z:-1
B0000002.RDB,   X:2, Z:0

Dungeon: Moorhart's Guard
Type: Natural Cave
Total Size: 10
B0000004.RDB,   X:-2, Z:0
B0000009.RDB,   X:-1, Z:-1
W0000009.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-2
N0000070.RDB,   X:0, Z:-1
W0000019.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: Moorfield Tower
Type: Desecrated Temple
Total Size: 10
B0000009.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-2
N0000018.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-2
N0000079.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0
B0000013.RDB,   X:2, Z:-1

Dungeon: The Stronghold of Uthoryan
Type: Human Stronghold
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
W0000019.RDB,   X:0, Z:0
N0000009.RDB,   X:0, Z:1
B0000002.RDB,   X:0, Z:2
B0000008.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1

Dungeon: The Nest of Druirugoth
Type: Spider Nest
Total Size: 10
B0000010.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-1
N0000000.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
N0000072.RDB,   X:0, Z:1
B0000014.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1

Dungeon: Tower Ashcroft
Type: Ruined Castle
Total Size: 11
B0000014.RDB,   X:-1, Z:-2
B0000009.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-3
W0000002.RDB,   X:0, Z:-2
N0000033.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-2
B0000011.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: The Prison of Edwyrick
Type: Prison
Total Size: 12
B0000009.RDB,   X:-2, Z:-1
B0000001.RDB,   X:-2, Z:0
B0000008.RDB,   X:-1, Z:-2
N0000011.RDB,   X:-1, Z:-1
N0000091.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000052.RDB,   X:0, Z:0
N0000015.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000000.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1

Dungeon: Tower Gondyval
Type: Human Stronghold
Total Size: 10
B0000006.RDB,   X:-1, Z:-1
B0000013.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-2
N0000088.RDB,   X:0, Z:-1
N0000072.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-1
W0000018.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: The Cairn of Vladivon
Type: Crypt
Total Size: 13
B0000007.RDB,   X:-3, Z:-1
B0000012.RDB,   X:-3, Z:0
B0000002.RDB,   X:-2, Z:-2
N0000028.RDB,   X:-2, Z:-1
N0000008.RDB,   X:-2, Z:0
B0000004.RDB,   X:-2, Z:1
B0000009.RDB,   X:-1, Z:-1
W0000013.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000001.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Triceruthor
Type: Giant Stronghold
Total Size: 10
B0000009.RDB,   X:-2, Z:-1
B0000003.RDB,   X:-1, Z:-2
N0000012.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-2
N0000017.RDB,   X:0, Z:-1
N0000061.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: Tower Hearthford
Type: Natural Cave
Total Size: 8
B0000000.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
N0000061.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:0

Dungeon: Ruins of Gaercroft's Hold
Type: Orc Stronghold
Total Size: 10
B0000007.RDB,   X:-2, Z:0
B0000012.RDB,   X:-1, Z:-1
N0000071.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
W0000025.RDB,   X:0, Z:0
N0000020.RDB,   X:0, Z:1
B0000003.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: The Woodhouse Burial Ground
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The Ashston Vaults
Type: Cemetery
Total Size: 5
B0000013.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The Buckington Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000004.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:0

Dungeon: Ruins of Hearthfield Court
Type: Crypt
Total Size: 10
B0000009.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
N0000056.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
N0000026.RDB,   X:1, Z:0
N0000019.RDB,   X:1, Z:1
B0000007.RDB,   X:1, Z:2
B0000012.RDB,   X:2, Z:0
B0000004.RDB,   X:2, Z:1

Dungeon: The Disporgon Shrine
Type: Desecrated Temple
Total Size: 12
B0000007.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
W0000017.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-2
W0000003.RDB,   X:1, Z:-1
N0000080.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:-2
N0000020.RDB,   X:2, Z:-1
B0000003.RDB,   X:2, Z:0
B0000001.RDB,   X:3, Z:-1

Dungeon: Ruins of Moorcroft Manor
Type: Ruined Castle
Total Size: 12
B0000001.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-1
N0000062.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-2
N0000079.RDB,   X:0, Z:-1
W0000019.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
N0000073.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: Ruins of Coppersmith Hall
Type: Barbarian Stronghold
Total Size: 14
B0000001.RDB,   X:-1, Z:-3
B0000011.RDB,   X:-1, Z:-2
B0000000.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-4
W0000021.RDB,   X:0, Z:-3
N0000073.RDB,   X:0, Z:-2
N0000074.RDB,   X:0, Z:-1
W0000010.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-3
B0000001.RDB,   X:1, Z:-2
B0000010.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Moroghu
Type: Giant Stronghold
Total Size: 14
B0000002.RDB,   X:-2, Z:0
B0000009.RDB,   X:-1, Z:-1
N0000044.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000053.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
N0000031.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000011.RDB,   X:2, Z:-1
W0000008.RDB,   X:2, Z:0
B0000012.RDB,   X:2, Z:1
B0000008.RDB,   X:3, Z:0

Dungeon: The Pit of Morkulorgon
Type: Natural Cave
Total Size: 13
B0000009.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000059.RDB,   X:0, Z:0
N0000060.RDB,   X:0, Z:1
B0000003.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:-1
N0000033.RDB,   X:1, Z:0
B0000005.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:-1
N0000005.RDB,   X:2, Z:0
B0000001.RDB,   X:2, Z:1
B0000013.RDB,   X:3, Z:0

Dungeon: Ruins of Masterhart Manor
Type: Mine
Total Size: 12
B0000009.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
W0000021.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-2
W0000015.RDB,   X:1, Z:-1
N0000002.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000008.RDB,   X:2, Z:-2
N0000033.RDB,   X:2, Z:-1
B0000001.RDB,   X:2, Z:0
B0000013.RDB,   X:3, Z:-1

Dungeon: Ruins of The Old Wickston Shack
Type: Barbarian Stronghold
Total Size: 10
B0000009.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
N0000017.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
W0000014.RDB,   X:1, Z:0
N0000068.RDB,   X:1, Z:1
B0000005.RDB,   X:1, Z:2
B0000013.RDB,   X:2, Z:0
B0000009.RDB,   X:2, Z:1

Dungeon: The Fortress of Kinghart
Type: Spider Nest
Total Size: 11
B0000012.RDB,   X:-1, Z:-1
B0000013.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000003.RDB,   X:0, Z:-2
N0000027.RDB,   X:0, Z:-1
W0000029.RDB,   X:0, Z:0
N0000018.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:-1
B0000005.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1

Dungeon: The Tombs of Greening
Type: Forgotten Cemetery
Total Size: 5
B0000004.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Kingwing Palace
Type: Ruined Castle
Total Size: 12
B0000014.RDB,   X:-1, Z:-1
B0000006.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
W0000006.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-3
W0000007.RDB,   X:1, Z:-2
W0000005.RDB,   X:1, Z:-1
B0000008.RDB,   X:1, Z:0
B0000014.RDB,   X:2, Z:-2
B0000002.RDB,   X:2, Z:-1

Dungeon: The Shrine of Demanx
Type: Desecrated Temple
Total Size: 10
B0000006.RDB,   X:-2, Z:0
B0000008.RDB,   X:-1, Z:-1
W0000018.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-2
W0000025.RDB,   X:0, Z:-1
N0000049.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
B0000002.RDB,   X:1, Z:0

Dungeon: Theodore's Gaol
Type: Prison
Total Size: 13
B0000005.RDB,   X:-2, Z:-1
B0000001.RDB,   X:-1, Z:-2
N0000091.RDB,   X:-1, Z:-1
B0000001.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-2
W0000008.RDB,   X:0, Z:-1
N0000005.RDB,   X:0, Z:0
W0000023.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1

Dungeon: Ruins of The Hold of Hawksly
Type: Ruined Castle
Total Size: 8
B0000004.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-2
W0000017.RDB,   X:0, Z:-1
N0000069.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
B0000005.RDB,   X:1, Z:0

Dungeon: Ruins of Castle Yeomton
Type: Prison
Total Size: 10
B0000009.RDB,   X:-2, Z:1
B0000000.RDB,   X:-1, Z:0
W0000000.RDB,   X:-1, Z:1
B0000004.RDB,   X:-1, Z:2
B0000007.RDB,   X:0, Z:-1
W0000029.RDB,   X:0, Z:0
W0000011.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000010.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1

Dungeon: The Lair of Morraphang
Type: Spider Nest
Total Size: 8
B0000012.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
N0000040.RDB,   X:0, Z:0
N0000092.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000005.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: The Citadel of Gaersly
Type: Ruined Castle
Total Size: 13
B0000000.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000089.RDB,   X:0, Z:-1
N0000026.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
W0000002.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:-1
N0000074.RDB,   X:2, Z:0
B0000009.RDB,   X:2, Z:1
B0000002.RDB,   X:3, Z:0

Dungeon: The Cult of Barbyssa
Type: Coven
Total Size: 12
B0000006.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
W0000020.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-2
N0000045.RDB,   X:0, Z:-1
N0000081.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
W0000014.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000011.RDB,   X:2, Z:0

Dungeon: The Wickcroft Graveyard
Type: Cemetery
Total Size: 5
B0000001.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: Castle Hawkston
Type: Giant Stronghold
Total Size: 13
B0000004.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
N0000092.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:-2
N0000067.RDB,   X:2, Z:-1
N0000041.RDB,   X:2, Z:0
B0000012.RDB,   X:2, Z:1
B0000003.RDB,   X:3, Z:-1
B0000006.RDB,   X:3, Z:0

Dungeon: The Elyzyssa Tradition
Type: Coven
Total Size: 8
B0000002.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
W0000027.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
N0000070.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: Ruins of The Old Ashsly Hovel
Type: Coven
Total Size: 10
B0000000.RDB,   X:-1, Z:-1
B0000012.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-2
W0000016.RDB,   X:0, Z:-1
W0000004.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
W0000028.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:0

Dungeon: Castle Buckington
Type: Crypt
Total Size: 12
B0000011.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
W0000011.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-2
N0000031.RDB,   X:1, Z:-1
N0000048.RDB,   X:1, Z:0
N0000057.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000000.RDB,   X:2, Z:-1
B0000013.RDB,   X:2, Z:0
B0000002.RDB,   X:2, Z:1

Dungeon: The Wicksley Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000001.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
M0000008.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: Woodhart's Hold
Type: Ruined Castle
Total Size: 13
B0000001.RDB,   X:-1, Z:-2
B0000013.RDB,   X:-1, Z:-1
B0000001.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-3
N0000054.RDB,   X:0, Z:-2
N0000072.RDB,   X:0, Z:-1
N0000042.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-3
W0000028.RDB,   X:1, Z:-2
B0000007.RDB,   X:1, Z:-1
B0000008.RDB,   X:1, Z:0
B0000009.RDB,   X:2, Z:-2

Dungeon: The Agrard Prison
Type: Prison
Total Size: 12
B0000014.RDB,   X:-2, Z:-1
B0000012.RDB,   X:-1, Z:-2
N0000039.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-2
N0000008.RDB,   X:0, Z:-1
W0000028.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-2
N0000074.RDB,   X:1, Z:-1
B0000008.RDB,   X:1, Z:0
B0000006.RDB,   X:2, Z:-1

Dungeon: Buckingham's Hold
Type: Human Stronghold
Total Size: 13
B0000014.RDB,   X:-3, Z:-1
B0000008.RDB,   X:-3, Z:0
B0000011.RDB,   X:-2, Z:-2
N0000029.RDB,   X:-2, Z:-1
W0000009.RDB,   X:-2, Z:0
B0000011.RDB,   X:-2, Z:1
B0000004.RDB,   X:-1, Z:-1
W0000018.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
W0000000.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: Ruins of Kington Manor
Type: Ruined Castle
Total Size: 8
B0000009.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-2
N0000041.RDB,   X:0, Z:-1
N0000081.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
B0000000.RDB,   X:1, Z:0

Dungeon: The Woodhart Graveyard
Type: Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
M0000008.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Hearthston Burial Ground
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: The Graves of Copperton
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: Vermetor
Type: Orc Stronghold
Total Size: 8
B0000009.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
W0000008.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
W0000002.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000003.RDB,   X:2, Z:0

Dungeon: Ruins of Woodcroft Manor
Type: Ruined Castle
Total Size: 12
B0000013.RDB,   X:-2, Z:0
B0000003.RDB,   X:-2, Z:1
B0000004.RDB,   X:-1, Z:-1
W0000007.RDB,   X:-1, Z:0
N0000004.RDB,   X:-1, Z:1
B0000012.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-2
W0000008.RDB,   X:0, Z:-1
W0000014.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
B0000007.RDB,   X:1, Z:0

Dungeon: The Kingford Tombs
Type: Forgotten Cemetery
Total Size: 5
B0000006.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: The Graves of Moorfield
Type: Forgotten Cemetery
Total Size: 5
B0000012.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
