Region: Alik'r Desert
B0000006.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-2
N0000045.RDB,   X:0, Z:-1
W0000028.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-2
N0000084.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0
B0000006.RDB,   X:2, Z:-1

Dungeon: Ruins of Tower Grughtir
Type: Crypt
Total Size: 12
B0000002.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000001.RDB,   X:-1, Z:2
B0000013.RDB,   X:0, Z:-1
N0000030.RDB,   X:0, Z:0
W0000029.RDB,   X:0, Z:1
W0000016.RDB,   X:0, Z:2
B0000005.RDB,   X:0, Z:3
B0000004.RDB,   X:1, Z:0
N0000019.RDB,   X:1, Z:1
B0000004.RDB,   X:1, Z:2
B0000002.RDB,   X:2, Z:1

Dungeon: Ruins of Raovon Grange
Type: Desecrated Temple
Total Size: 12
B0000005.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000030.RDB,   X:0, Z:-1
N0000046.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-3
W0000027.RDB,   X:1, Z:-2
N0000009.RDB,   X:1, Z:-1
B0000008.RDB,   X:1, Z:0
B0000012.RDB,   X:2, Z:-2
B0000002.RDB,   X:2, Z:-1

Dungeon: The Larm Crypts
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Nerchem Hovel
Type: Desecrated Temple
Total Size: 8
B0000011.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-2
N0000022.RDB,   X:0, Z:-1
N0000037.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: The Krorchem Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000006.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: Ruins of The Slelpke Farmstead
Type: Mine
Total Size: 10
B0000003.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-1
N0000034.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-2
N0000025.RDB,   X:0, Z:-1
N0000087.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: The Barrow of Barimar
Type: Crypt
Total Size: 8
B0000000.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-1
W0000009.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
W0000029.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: The Sepulcher of Stadulam
Type: Crypt
Total Size: 10
B0000008.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
N0000086.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000001.RDB,   X:1, Z:0
W0000024.RDB,   X:1, Z:1
B0000008.RDB,   X:1, Z:2
B0000008.RDB,   X:2, Z:1

Dungeon: Shastar's Guard
Type: Natural Cave
Total Size: 11
B0000006.RDB,   X:-3, Z:0
B0000003.RDB,   X:-2, Z:-1
W0000005.RDB,   X:-2, Z:0
B0000002.RDB,   X:-2, Z:1
B0000001.RDB,   X:-1, Z:-1
W0000005.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000008.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:0

Dungeon: The Fortress of Nusan
Type: Mine
Total Size: 12
B0000003.RDB,   X:-2, Z:1
B0000001.RDB,   X:-1, Z:0
W0000011.RDB,   X:-1, Z:1
B0000003.RDB,   X:-1, Z:2
B0000013.RDB,   X:0, Z:-1
N0000021.RDB,   X:0, Z:0
N0000025.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:-1
N0000085.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000003.RDB,   X:2, Z:0

Dungeon: The Lall Lode
Type: Mine
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
W0000027.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
N0000026.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000000.RDB,   X:2, Z:0

Dungeon: The Stronghold of Dhortum
Type: Orc Stronghold
Total Size: 8
B0000001.RDB,   X:-1, Z:-1
B0000013.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-2
N0000015.RDB,   X:0, Z:-1
N0000062.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Castle Nezon
Type: Coven
Total Size: 12
B0000008.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000010.RDB,   X:-1, Z:2
B0000011.RDB,   X:0, Z:-1
N0000080.RDB,   X:0, Z:0
N0000014.RDB,   X:0, Z:1
N0000021.RDB,   X:0, Z:2
B0000008.RDB,   X:0, Z:3
B0000008.RDB,   X:1, Z:0
N0000033.RDB,   X:1, Z:1
B0000014.RDB,   X:1, Z:2
B0000009.RDB,   X:2, Z:1

Dungeon: Ruins of The Citadel of T'ig
Type: Crypt
Total Size: 12
B0000007.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-2
N0000081.RDB,   X:0, Z:-1
N0000089.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
N0000090.RDB,   X:1, Z:-1
N0000058.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:-1
B0000008.RDB,   X:2, Z:0

Dungeon: Ruins of The Vloghten Farmstead
Type: Crypt
Total Size: 10
B0000004.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
N0000019.RDB,   X:1, Z:0
N0000063.RDB,   X:1, Z:1
B0000002.RDB,   X:1, Z:2
B0000007.RDB,   X:2, Z:0
B0000002.RDB,   X:2, Z:1

Dungeon: Ruins of Old Rhoghti's Farm
Type: Desecrated Temple
Total Size: 13
B0000006.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-2
N0000020.RDB,   X:0, Z:-1
N0000074.RDB,   X:0, Z:0
N0000032.RDB,   X:0, Z:1
B0000010.RDB,   X:0, Z:2
B0000001.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
N0000021.RDB,   X:1, Z:1
B0000005.RDB,   X:1, Z:2
B0000003.RDB,   X:2, Z:1

Dungeon: Krovt's Hold
Type: Laboratory
Total Size: 8
B0000001.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
N0000018.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
W0000017.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000008.RDB,   X:2, Z:0

Dungeon: The Cairn of Necromulam
Type: Crypt
Total Size: 8
B0000005.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-1
N0000008.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000044.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: Ruins of The Flelp Farmstead
Type: Natural Cave
Total Size: 8
B0000008.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-1
N0000031.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
N0000032.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: Ruins of Old Gheldsa's Hovel
Type: Natural Cave
Total Size: 8
B0000014.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
W0000028.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
N0000023.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000004.RDB,   X:2, Z:0

Dungeon: The Lair of Vermgod
Type: Scorpion Nest
Total Size: 13
B0000012.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000008.RDB,   X:-1, Z:2
B0000010.RDB,   X:0, Z:-1
N0000083.RDB,   X:0, Z:0
W0000008.RDB,   X:0, Z:1
N0000060.RDB,   X:0, Z:2
B0000007.RDB,   X:0, Z:3
B0000004.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
W0000024.RDB,   X:1, Z:2
B0000013.RDB,   X:1, Z:3
B0000007.RDB,   X:2, Z:2

Dungeon: The Tower of Churhten
Type: Desecrated Temple
Total Size: 12
B0000013.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
N0000013.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
N0000024.RDB,   X:1, Z:0
N0000026.RDB,   X:1, Z:1
B0000012.RDB,   X:1, Z:2
B0000013.RDB,   X:2, Z:-1
N0000085.RDB,   X:2, Z:0
B0000003.RDB,   X:2, Z:1
B0000013.RDB,   X:3, Z:0

Dungeon: Ruins of Castle Berk
Type: Giant Stronghold
Total Size: 11
B0000012.RDB,   X:-1, Z:-2
B0000004.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-3
N0000007.RDB,   X:0, Z:-2
W0000027.RDB,   X:0, Z:-1
W0000003.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-2
B0000012.RDB,   X:1, Z:-1
B0000005.RDB,   X:1, Z:0

Dungeon: The Fuctur Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: Ruins of The Old T'oldin Place
Type: Crypt
Total Size: 13
B0000006.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-2, Z:0
B0000011.RDB,   X:-1, Z:-2
W0000011.RDB,   X:-1, Z:-1
N0000031.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000018.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
N0000006.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:0

Dungeon: The Fortress of Sught
Type: Ruined Castle
Total Size: 12
B0000001.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-2
N0000057.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-3
N0000054.RDB,   X:1, Z:-2
W0000028.RDB,   X:1, Z:-1
B0000003.RDB,   X:1, Z:0
B0000009.RDB,   X:2, Z:-2
B0000013.RDB,   X:2, Z:-1

Dungeon: The Tower of Saaz
Type: Scorpion Nest
Total Size: 12
B0000000.RDB,   X:-3, Z:1
B0000014.RDB,   X:-2, Z:0
N0000090.RDB,   X:-2, Z:1
B0000004.RDB,   X:-2, Z:2
B0000013.RDB,   X:-1, Z:-1
N0000010.RDB,   X:-1, Z:0
N0000054.RDB,   X:-1, Z:1
B0000006.RDB,   X:-1, Z:2
B0000007.RDB,   X:0, Z:-1
N0000088.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Khallrn Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000009.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Bej's Hold
Type: Ruined Castle
Total Size: 12
B0000004.RDB,   X:-1, Z:-1
B0000013.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-2
N0000075.RDB,   X:0, Z:-1
N0000074.RDB,   X:0, Z:0
W0000011.RDB,   X:0, Z:1
B0000008.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:-1
W0000004.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000011.RDB,   X:2, Z:0

Dungeon: The Abbey of Asmiameusessa
Type: Desecrated Temple
Total Size: 12
B0000003.RDB,   X:-2, Z:-2
B0000008.RDB,   X:-2, Z:-1
B0000014.RDB,   X:-1, Z:-3
N0000058.RDB,   X:-1, Z:-2
N0000076.RDB,   X:-1, Z:-1
B0000012.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-2
N0000084.RDB,   X:0, Z:-1
N0000026.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0



Block Count Breakdown For This Region:

B0000002.RDB:  90
B0000004.RDB:  85
B0000006.RDB:  81
B0000013.RDB:  80
B0000010.RDB:  74
B0000008.RDB:  73
B0000001.RDB:  73
B0000007.RDB:  72
B0000009.RDB:  68
B0000005.RDB:  66
B0000000.RDB:  64
B0000014.RDB:  64
B0000003.RDB:  58
B0000012.RDB:  56
B0000011.RDB:  56
W0000022.RDB:  10
N0000074.RDB:  8
N0000032.RDB:  8
W0000011.RDB:  7
N0000021.RDB:  7
W0000008.RDB:  6
W0000025.RDB:  6
W0000018.RDB:  6
W0000009.RDB:  6
N0000026.RDB:  6
W0000005.RDB:  6
W0000028.RDB:  6
N0000030.RDB:  6
N0000019.RDB:  6
N0000031.RDB:  5
N0000001.RDB:  5
N0000006.RDB:  5
W0000007.RDB:  5
N0000010.RDB:  5
W0000000.RDB:  5
M0000006.RDB:  5
W0000006.RDB:  5
N0000020.RDB:  5
N0000045.RDB:  5
N0000028.RDB:  5
W0000012.RDB:  5
N0000009.RDB:  5
W0000026.RDB:  5
N0000033.RDB:  5
M0000005.RDB:  4
N0000086.RDB:  4
N0000056.RDB:  4
N0000055.RDB:  4
W0000003.RDB:  4
W0000010.RDB:  4
N0000047.RDB:  4
W0000024.RDB:  4
N0000023.RDB:  4
N0000070.RDB:  4
W0000019.RDB:  4
W0000027.RDB:  4
N0000091.RDB:  4
N0000053.RDB:  4
N0000044.RDB:  4
N0000058.RDB:  4
N0000081.RDB:  4
N0000088.RDB:  4
N0000090.RDB:  4
N0000060.RDB:  4
N0000046.RDB:  4
W0000016.RDB:  4
N0000073.RDB:  4
N0000084.RDB:  4
N0000034.RDB:  4
N0000022.RDB:  4
N0000065.RDB:  3
N0000050.RDB:  3
W0000015.RDB:  3
M0000001.RDB:  3
M0000000.RDB:  3
N0000014.RDB:  3
N0000004.RDB:  3
N0000064.RDB:  3
N0000062.RDB:  3
N0000038.RDB:  3
N0000083.RDB:  3
N0000077.RDB:  3
N0000051.RDB:  3
W0000014.RDB:  3
N0000005.RDB:  3
N0000092.RDB:  3
N0000017.RDB:  3
N0000015.RDB:  3
N0000025.RDB:  3
N0000067.RDB:  3
W0000020.RDB:  3
N0000007.RDB:  3
N0000024.RDB:  3
N0000012.RDB:  3
N0000080.RDB:  3
N0000076.RDB:  3
N0000063.RDB:  3
N0000043.RDB:  3
N0000085.RDB:  3
N0000018.RDB:  3
N0000035.RDB:  2
W0000023.RDB:  2
M0000004.RDB:  2
N0000048.RDB:  2
N0000072.RDB:  2
N0000071.RDB:  2
N0000041.RDB:  2
N0000052.RDB:  2
W0000017.RDB:  2
N0000027.RDB:  2
N0000059.RDB:  2
W0000004.RDB:  2
N0000036.RDB:  2
W0000001.RDB:  2
M0000003.RDB:  2
N0000040.RDB:  2
N0000087.RDB:  2
N0000029.RDB:  2
N0000039.RDB:  2
N0000049.RDB:  2
N0000068.RDB:  2
N0000057.RDB:  2
N0000011.RDB:  2
N0000082.RDB:  2
N0000037.RDB:  2
W0000029.RDB:  2
N0000008.RDB:  2
N0000054.RDB:  2
W0000021.RDB:  1
N0000066.RDB:  1
N0000069.RDB:  1
M0000002.RDB:  1
N0000042.RDB:  1
M0000008.RDB:  1
N0000078.RDB:  1
N0000003.RDB:  1
N0000000.RDB:  1
N0000061.RDB:  1
W0000013.RDB:  1
N0000089.RDB:  1
N0000013.RDB:  1
N0000075.RDB:  1

END
